Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude,Codes,Continent,Date
Croatia,Šibenik-Knin County,80,28,1,43.8410419,16.022628,HRV,Europe,26-04-2020
Croatia,Koprivnica-Križevci County,60,1,0,46.12020575,16.779842997977994,HRV,Europe,26-04-2020
Croatia,Varaždin County,49,30,0,46.2572752,16.2900851,HRV,Europe,26-04-2020
Croatia,Vukovar-Srijem County,39,5,0,45.228340700000004,18.8590442,HRV,Europe,26-04-2020
Croatia,Sisak-Moslavina County,34,15,0,45.3330101,16.49187075036225,HRV,Europe,26-04-2020
Croatia,Karlovac County,29,10,1,45.2826564,15.4190997,HRV,Europe,26-04-2020
Croatia,Brod-Posavina County,22,3,1,45.2444285,17.9232927,HRV,Europe,26-04-2020
Croatia,Lika-Senj County,20,1,0,44.668256299999996,15.322577599999999,HRV,Europe,26-04-2020
Croatia,Bjelovar-Bilogora County,12,5,0,45.746214200000004,16.9212335,HRV,Europe,26-04-2020
Croatia,Virovitica-Podravina County,9,0,0,45.7732751,17.5789161,HRV,Europe,26-04-2020
Croatia,Međimurje County,8,4,0,46.4232963,16.4661353,HRV,Europe,26-04-2020
Croatia,Požega-Slavonia County,3,3,0,45.43811510000001,17.5133687,HRV,Europe,26-04-2020
Dominican Republic,Distrito Nacional,1457,305,35,18.48525785,-69.92990811529472,DOM,North America,26-04-2020
Dominican Republic,Santo Domingo Province,1057,125,38,18.4801972,-69.942111,DOM,North America,26-04-2020
Dominican Republic,Santiago Province,719,84,43,19.4503932,-70.6909047,DOM,North America,26-04-2020
Dominican Republic,Duarte Province,557,72,74,19.796121799999998,-70.69147609999997,DOM,North America,26-04-2020
Dominican Republic,La Vega Province,414,36,7,19.2237411,-70.5284071,DOM,North America,26-04-2020
Dominican Republic,Puerto Plata Province,185,12,11,19.7893977,-70.6940515,DOM,North America,26-04-2020
Dominican Republic,Espaillat Province,162,22,5,18.4234077,-68.970927,DOM,North America,26-04-2020
Dominican Republic,Monseñor Nouel,162,12,3,18.8820257,-70.418098,DOM,North America,26-04-2020
Dominican Republic,Hermanas Mirabal Province,145,17,11,18.502478200000002,-69.82829140000001,DOM,North America,26-04-2020
Dominican Republic,San Cristóbal Province,138,6,4,18.417453100000003,-70.11033459999999,DOM,North America,26-04-2020
Dominican Republic,Sánchez Ramírez Province,138,3,6,-70.1448351,19.0176147,DOM,North America,26-04-2020
Dominican Republic,La Altagracia,109,23,1,18.5823788,-68.6587525,DOM,North America,26-04-2020
Dominican Republic,La Romana Province,97,8,2,18.4272786,-68.9734597,DOM,North America,26-04-2020
Dominican Republic,María Trinidad Sánchez Province,79,5,3,18.431132100000006,-69.0239872,DOM,North America,26-04-2020
Dominican Republic,San Pedro de Macorís Province,56,8,7,18.4601161,-69.3027395,DOM,North America,26-04-2020
Dominican Republic,San Juan Province,43,1,3,18.477579199999997,-69.9766214,DOM,North America,26-04-2020
Dominican Republic,Peravia Province,37,2,1,18.4927899,-69.993166,DOM,North America,26-04-2020
Dominican Republic,Barahona Province,35,5,1,18.2101889,-71.1012325,DOM,North America,26-04-2020
Dominican Republic,Valverde Province,32,3,2,18.4861819,-69.89126170000002,DOM,North America,26-04-2020
Dominican Republic,Azua Province,25,1,1,18.453259399999997,-70.73240109999998,DOM,North America,26-04-2020
Dominican Republic,Santiago Rodríguez Province,24,0,1,18.4745773,-69.8884978,DOM,North America,26-04-2020
Dominican Republic,Samaná Province,21,8,1,19.2055052,-69.3362252,DOM,North America,26-04-2020
Dominican Republic,Monte Plata Province,13,2,0,18.8100643,-69.78753540000001,DOM,North America,26-04-2020
Dominican Republic,Hato Mayor Province,11,0,2,18.763250199999998,-69.2571917,DOM,North America,26-04-2020
Dominican Republic,Baoruco Province,4,1,0,18.0766275,-71.0952214,DOM,North America,26-04-2020
Dominican Republic,El Seibo Province,4,0,0,18.7639305,-69.03729229999999,DOM,North America,26-04-2020
Dominican Republic,San José de Ocoa Province,4,0,2,18.546405,-70.50567029999998,DOM,North America,26-04-2020
Dominican Republic,Dajabón Province,3,1,0,19.550137600000006,-71.7039072,DOM,North America,26-04-2020
Dominican Republic,Pedernales Province,3,0,0,18.0431598,-71.7432093,DOM,North America,26-04-2020
Dominican Republic,Elías Piña Province,1,0,0,-71.69594790000002,18.995254199999998,DOM,North America,26-04-2020
